player_id,team,passes,goals_regular,goals_enhanced,goals_final,tackles,interceptions,goal_events_count,avg_goal_confidence
4,1,1,0,0,0,0,0,0,0.0
6,1,0,0,0,0,0,1,0,0.0
7,1,1,0,0,0,0,0,0,0.0
8,1,1,0,0,0,0,0,0,0.0
9,1,1,0,0,0,0,0,0,0.0
13,1,1,0,0,0,0,0,0,0.0
20,1,1,0,0,0,0,0,0,0.0
26,1,1,0,0,0,0,0,0,0.0
35,1,2,0,0,0,0,0,0,0.0
89,1,0,1,0,1,0,0,0,0.0
159,2,0,1,0,1,0,0,0,0.0
232,1,1,0,0,0,0,0,0,0.0
245,1,0,3,0,3,0,0,0,0.0
381,1,1,0,0,0,0,0,0,0.0
448,1,1,0,0,0,0,0,0,0.0
458,2,0,0,0,0,0,1,0,0.0
